source_sheet,source_row,system_number,basin,name,time_utc,latitude_deg_n,longitude_deg_e,ci_number,central_pressure_hpa,maximum_sustained_wind_kt,pressure_drop_hpa,grade
2025,266,14,BOB,Senyar,2025-11-25T03:00:00Z,5.4,99.7,1.5,1004,20,3,D
2025,267,14,BOB,Senyar,2025-11-25T06:00:00Z,5.3,99.5,1.5,1004,20,3,D
2025,268,14,BOB,Senyar,2025-11-25T12:00:00Z,5.1,99,1.5,1003,25,4,D
2025,269,14,BOB,Senyar,2025-11-25T18:00:00Z,5.1,98.5,2,1002,30,5,DD
2025,270,14,BOB,Senyar,2025-11-26T00:00:00Z,5,98,2.5,999,40,8,CS
2025,272,14,BOB,Senyar,2025-11-26T03:00:00Z,4.9,97.8,,999,40,8,CS
2025,273,14,BOB,Senyar,2025-11-26T06:00:00Z,4.7,97.8,,999,40,8,CS
2025,274,14,BOB,Senyar,2025-11-26T09:00:00Z,4.6,97.8,,999,40,8,CS
2025,275,14,BOB,Senyar,2025-11-26T12:00:00Z,4.3,98.1,,1000,35,7,CS
2025,276,14,BOB,Senyar,2025-11-26T15:00:00Z,4.1,98.3,,1000,35,7,CS
2025,277,14,BOB,Senyar,2025-11-26T18:00:00Z,4,98.5,,1000,35,7,CS
2025,279,14,BOB,Senyar,2025-11-26T21:00:00Z,3.8,98.8,2.5,1001,35,6,CS
2025,280,14,BOB,Senyar,2025-11-27T00:00:00Z,3.7,99.2,2,1002,30,5,DD
2025,281,14,BOB,Senyar,2025-11-27T03:00:00Z,3.7,99.6,2,1002,30,5,DD
2025,282,14,BOB,Senyar,2025-11-27T06:00:00Z,3.6,99.8,1.5,1003,25,4,D
2025,283,14,BOB,Senyar,2025-11-27T12:00:00Z,3.6,100.7,1.5,1004,20,3,D
2025,284,14,BOB,Senyar,2025-11-27T15:00:00Z,3.6,100.9,1.5,1004,20,3,D
